anchor_revision,comparison_revision,prompt_id,prompt_family,prompt,anchor_vs_comparison_js
step143000,step128000,explanation_001,explanation,Explain why cities develop public libraries.,0.0053056515753269196
step143000,step128000,explanation_002,explanation,Explain why neighborhoods create public parks.,0.007859405130147934
step143000,step128000,explanation_003,explanation,Explain why schools keep science laboratories.,0.015075343661010265
step143000,step128000,explanation_004,explanation,Explain why museums use wall labels.,0.007674483582377434
step143000,step128000,explanation_005,explanation,Explain why courts publish written opinions.,0.005039370618760586
step143000,step128000,explanation_006,explanation,Explain why hospitals use triage systems.,0.008541646413505077
step143000,step128000,explanation_007,explanation,Explain why towns maintain public transit.,0.013660690747201443
step143000,step128000,explanation_008,explanation,Explain why archives preserve administrative records.,0.009050831198692322
step143000,step128000,explanation_009,explanation,Explain why universities require office hours.,0.01876603439450264
step143000,step128000,explanation_010,explanation,Explain why software teams use version control.,0.013199018314480782
step143000,step128000,explanation_011,explanation,Explain why newspapers keep corrections pages.,0.010074028745293617
step143000,step128000,explanation_012,explanation,Explain why research groups maintain lab notebooks.,0.006799457129091024
step143000,step128000,explanation_013,explanation,Explain why legislatures use committees.,0.01803002506494522
step143000,step128000,explanation_014,explanation,Explain why cities zone industrial districts.,0.040461957454681396
step143000,step128000,explanation_015,explanation,Explain why conferences use peer review.,0.009304165840148926
step143000,step128000,explanation_016,explanation,Explain why teams keep revision logs.,0.025890547782182693
step143000,step128000,explanation_017,explanation,Explain why schools assign reading lists.,0.02153143286705017
step143000,step128000,explanation_018,explanation,Explain why community gardens keep shared rules.,0.008779014460742474
step143000,step128000,explanation_019,explanation,Explain why local governments post meeting minutes.,0.009370519779622555
step143000,step128000,explanation_020,explanation,Explain why libraries lend more than books.,0.008958401158452034
step143000,step128000,judgment_001,judgment,Should a school prioritize fairness or excellence when designing a grading policy?,0.014541498385369778
step143000,step128000,judgment_002,judgment,Should a city spend scarce funds on road repair or public transit first?,0.006787168327718973
step143000,step128000,judgment_003,judgment,Should a museum favor accessibility or historical completeness when writing labels?,0.008940580300986767
step143000,step128000,judgment_004,judgment,Should a workplace optimize for speed or careful review when deadlines are tight?,0.0053690532222390175
step143000,step128000,judgment_005,judgment,Should a hospital use first-come service or urgency-based triage during overload?,0.014804058708250523
step143000,step128000,judgment_006,judgment,Should a teacher grade participation heavily or lightly?,0.022783882915973663
step143000,step128000,judgment_007,judgment,Should public policy favor simple rules or case-by-case discretion?,0.0006087417714297771
step143000,step128000,judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,0.008409181609749794
step143000,step128000,judgment_009,judgment,Should a university require broad general education or early specialization?,0.019243275746703148
step143000,step128000,judgment_010,judgment,Should a team reuse old tools or switch to a more capable but riskier system?,0.009022430516779423
step143000,step128000,judgment_011,judgment,Should a grant committee reward bold novelty or reliable execution?,0.015571264550089836
step143000,step128000,judgment_012,judgment,Should a court prefer bright-line rules or flexible standards?,0.014980937354266644
step143000,step128000,judgment_013,judgment,Should a community preserve a historic building or replace it with housing?,0.0042800153605639935
step143000,step128000,judgment_014,judgment,Should a school ban phones outright or regulate their use?,0.02623770758509636
step143000,step128000,judgment_015,judgment,Should a public archive digitize rare material or preserve only the originals?,0.012364977970719337
step143000,step128000,judgment_016,judgment,Should an editor favor clarity or stylistic individuality in a student essay?,0.0072641633450984955
step143000,step128000,judgment_017,judgment,Should a town build a large central park or several smaller parks?,0.0076172081753611565
step143000,step128000,judgment_018,judgment,Should an instructor prioritize mastery or coverage in a difficult course?,0.01508130319416523
step143000,step128000,judgment_019,judgment,Should a firm reward individual stars or consistent team contributors?,0.021129531785845757
step143000,step128000,judgment_020,judgment,Should public transit prioritize geographic coverage or frequent service?,0.005813100375235081
step143000,step128000,style_opening_001,style_opening,Write the opening paragraph of an essay about memory.,0.007020039949566126
step143000,step128000,style_opening_002,style_opening,Write the opening paragraph of an essay about public trust.,0.004983823746442795
step143000,step128000,style_opening_003,style_opening,Write the opening paragraph of an essay about record keeping.,0.005841191858053207
step143000,step128000,style_opening_004,style_opening,Write the opening paragraph of an essay about shared spaces.,0.004129981622099876
step143000,step128000,style_opening_005,style_opening,Write the opening paragraph of an essay about expertise.,0.005715622566640377
step143000,step128000,style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,0.005326281301677227
step143000,step128000,style_opening_007,style_opening,Write the opening paragraph of an essay about revision.,0.008897973224520683
step143000,step128000,style_opening_008,style_opening,Write the opening paragraph of an essay about evidence.,0.00624636746942997
step143000,step128000,style_opening_009,style_opening,Write the opening paragraph of an essay about institutions.,0.005427548196166754
step143000,step128000,style_opening_010,style_opening,Write the opening paragraph of an essay about maintenance.,0.006394285708665848
step143000,step128000,style_opening_011,style_opening,Write the opening paragraph of an essay about attention.,0.011693818494677544
step143000,step128000,style_opening_012,style_opening,Write the opening paragraph of an essay about fairness.,0.00682486966252327
step143000,step128000,style_opening_013,style_opening,Write the opening paragraph of an essay about delay.,0.010835155844688416
step143000,step128000,style_opening_014,style_opening,Write the opening paragraph of an essay about repair.,0.008780675008893013
step143000,step128000,style_opening_015,style_opening,Write the opening paragraph of an essay about archives.,0.006992819719016552
step143000,step128000,style_opening_016,style_opening,Write the opening paragraph of an essay about public language.,0.006306030787527561
step143000,step128000,style_opening_017,style_opening,Write the opening paragraph of an essay about rules.,0.026330765336751938
step143000,step128000,style_opening_018,style_opening,Write the opening paragraph of an essay about access.,0.026330765336751938
step143000,step128000,style_opening_019,style_opening,Write the opening paragraph of an essay about expertise and doubt.,0.0063645970076322556
step143000,step128000,style_opening_020,style_opening,Write the opening paragraph of an essay about common goods.,0.011699528433382511
step143000,step128000,advice_001,advice,A student is overwhelmed by choices. What should they do first?,0.005091299302875996
step143000,step128000,advice_002,advice,A team has too many priorities and too little time. What should they do first?,0.012594953179359436
step143000,step128000,advice_003,advice,A researcher has collected too much material for one paper. What should they do first?,0.018140416592359543
step143000,step128000,advice_004,advice,A city office wants to improve a failing service with limited budget. What should it do first?,0.005486846901476383
step143000,step128000,advice_005,advice,A student wrote a draft that says too many things at once. What should they do first?,0.0038326012436300516
step143000,step128000,advice_006,advice,A librarian needs to organize a confusing community program. What should they do first?,0.017414642497897148
step143000,step128000,advice_007,advice,A manager inherits a project with unclear ownership. What should they do first?,0.01477248314768076
step143000,step128000,advice_008,advice,A committee wants better decisions but its meetings drift. What should it do first?,0.00504572968930006
step143000,step128000,advice_009,advice,A student has chosen a thesis topic that is too broad. What should they do first?,0.029512975364923477
step143000,step128000,advice_010,advice,A museum educator wants to make a complex exhibit easier to follow. What should they do first?,0.008993109688162804
step143000,step128000,advice_011,advice,A public agency receives contradictory feedback from residents. What should it do first?,0.0072965798899531364
step143000,step128000,advice_012,advice,A team keeps revisiting the same argument without resolving it. What should they do first?,0.00900966301560402
step143000,step128000,advice_013,advice,A student is falling behind because every assignment feels equally urgent. What should they do first?,0.015565951354801655
step143000,step128000,advice_014,advice,A department wants better mentoring but no one agrees on the problem. What should they do first?,0.005814089439809322
step143000,step128000,advice_015,advice,A community group wants to revive a dormant project. What should they do first?,0.009767435491085052
step143000,step128000,advice_016,advice,A research assistant has messy notes and a deadline. What should they do first?,0.005501688923686743
step143000,step128000,advice_017,advice,A small town wants to improve civic participation. What should it do first?,0.009226339869201183
step143000,step128000,advice_018,advice,A team is adopting a new tool but confusion is spreading. What should they do first?,0.007648699916899204
step143000,step128000,advice_019,advice,A student wants to study more effectively but keeps rereading passively. What should they do first?,0.009753972291946411
step143000,step128000,advice_020,advice,A nonprofit has an ambitious mission but weak coordination. What should it do first?,0.007462239824235439
step143000,step128000,continuation_001,continuation,"Continue this sentence into a short paragraph: The old machine started working again, but...",0.005358779802918434
step143000,step128000,continuation_002,continuation,"Continue this sentence into a short paragraph: The committee agreed on the rule, but...",0.004404856823384762
step143000,step128000,continuation_003,continuation,"Continue this sentence into a short paragraph: The archive was complete, but...",0.007071449887007475
step143000,step128000,continuation_004,continuation,"Continue this sentence into a short paragraph: The plan looked simple on paper, but...",0.006816256325691938
step143000,step128000,continuation_005,continuation,"Continue this sentence into a short paragraph: The town finally built the park, but...",0.005308383144438267
step143000,step128000,continuation_006,continuation,"Continue this sentence into a short paragraph: The student had the evidence, but...",0.0059867119416594505
step143000,step128000,continuation_007,continuation,"Continue this sentence into a short paragraph: The train arrived on time, but...",0.006346843205392361
step143000,step128000,continuation_008,continuation,"Continue this sentence into a short paragraph: The report answered the question, but...",0.005304204300045967
step143000,step128000,continuation_009,continuation,"Continue this sentence into a short paragraph: The museum opened the new exhibit, but...",0.004301048815250397
step143000,step128000,continuation_010,continuation,"Continue this sentence into a short paragraph: The new rule solved one problem, but...",0.005045210011303425
step143000,step128000,continuation_011,continuation,"Continue this sentence into a short paragraph: The library stayed open late, but...",0.005915404297411442
step143000,step128000,continuation_012,continuation,"Continue this sentence into a short paragraph: The experiment finally succeeded, but...",0.005380161106586456
step143000,step128000,continuation_013,continuation,"Continue this sentence into a short paragraph: The class discussion was lively, but...",0.005404446739703417
step143000,step128000,continuation_014,continuation,"Continue this sentence into a short paragraph: The budget passed easily, but...",0.004681720398366451
step143000,step128000,continuation_015,continuation,"Continue this sentence into a short paragraph: The neighborhood welcomed the project, but...",0.004859992302954197
step143000,step128000,continuation_016,continuation,"Continue this sentence into a short paragraph: The proposal looked innovative, but...",0.007905328646302223
step143000,step128000,continuation_017,continuation,"Continue this sentence into a short paragraph: The writer had a clear theme, but...",0.00748094730079174
step143000,step128000,continuation_018,continuation,"Continue this sentence into a short paragraph: The policy was popular at first, but...",0.007494628429412842
step143000,step128000,continuation_019,continuation,"Continue this sentence into a short paragraph: The map was accurate, but...",0.009750653058290482
step143000,step128000,continuation_020,continuation,"Continue this sentence into a short paragraph: The meeting ended with agreement, but...",0.005513477139174938
step143000,step128000,argument_001,argument,Give the strongest argument against using exams as the main measure of learning.,0.002054616343230009
step143000,step128000,argument_002,argument,Give the strongest argument against measuring a city's health only by economic growth.,0.01578136906027794
step143000,step128000,argument_003,argument,Give the strongest argument against replacing libraries with fully digital services.,0.00427611730992794
step143000,step128000,argument_004,argument,Give the strongest argument against making speed the main value in journalism.,0.016110770404338837
step143000,step128000,argument_005,argument,Give the strongest argument against evaluating research only by citation counts.,0.011793030425906181
step143000,step128000,argument_006,argument,Give the strongest argument against strict zero-tolerance school discipline policies.,0.003794063813984394
step143000,step128000,argument_007,argument,Give the strongest argument against using attendance as a proxy for engagement.,0.012261878699064255
step143000,step128000,argument_008,argument,Give the strongest argument against centralizing all public services in one office.,0.008160236291587353
step143000,step128000,argument_009,argument,Give the strongest argument against relying on rankings to compare universities.,0.009669521823525429
step143000,step128000,argument_010,argument,Give the strongest argument against reducing civic education to factual memorization.,0.0058743832632899284
step143000,step128000,argument_011,argument,Give the strongest argument against treating efficiency as the main measure of public value.,0.003458235412836075
step143000,step128000,argument_012,argument,Give the strongest argument against eliminating peer review from grant decisions.,0.014298463240265846
step143000,step128000,argument_013,argument,Give the strongest argument against judging writing only by grammar and correctness.,0.005914177745580673
step143000,step128000,argument_014,argument,Give the strongest argument against moving all local news behind paywalls.,0.012318704277276993
step143000,step128000,argument_015,argument,Give the strongest argument against using one metric to evaluate teachers.,0.008321833796799183
step143000,step128000,argument_016,argument,Give the strongest argument against replacing public hearings with online surveys.,0.0044231293722987175
step143000,step128000,argument_017,argument,Give the strongest argument against treating consensus as proof of correctness.,0.006679095793515444
