prompt_id,prompt_family,prompt,selection_host_revision,selection_donor_revision,clean_js
judgment_005,judgment,Should a hospital use first-come service or urgency-based triage during overload?,step143000,step64000,0.08252912014722824
judgment_011,judgment,Should a grant committee reward bold novelty or reliable execution?,step143000,step64000,0.07529120147228241
judgment_001,judgment,Should a school prioritize fairness or excellence when designing a grading policy?,step143000,step64000,0.049556463956832886
style_opening_015,style_opening,Write the opening paragraph of an essay about archives.,step143000,step64000,0.04191967844963074
advice_005,advice,A student wrote a draft that says too many things at once. What should they do first?,step143000,step64000,0.0399014949798584
continuation_020,continuation,"Continue this sentence into a short paragraph: The meeting ended with agreement, but...",step143000,step64000,0.037535347044467926
judgment_003,judgment,Should a museum favor accessibility or historical completeness when writing labels?,step143000,step64000,0.03716443479061127
explanation_006,explanation,Explain why hospitals use triage systems.,step143000,step64000,0.03672172874212265
judgment_012,judgment,Should a court prefer bright-line rules or flexible standards?,step143000,step64000,0.036263421177864075
continuation_013,continuation,"Continue this sentence into a short paragraph: The class discussion was lively, but...",step143000,step64000,0.03430008888244629
continuation_009,continuation,"Continue this sentence into a short paragraph: The museum opened the new exhibit, but...",step143000,step64000,0.03337135910987854
style_opening_016,style_opening,Write the opening paragraph of an essay about public language.,step143000,step64000,0.03295036777853966
explanation_018,explanation,Explain why community gardens keep shared rules.,step143000,step64000,0.032233379781246185
explanation_015,explanation,Explain why conferences use peer review.,step143000,step64000,0.03008515015244484
style_opening_003,style_opening,Write the opening paragraph of an essay about record keeping.,step143000,step64000,0.029807409271597862
style_opening_008,style_opening,Write the opening paragraph of an essay about evidence.,step143000,step64000,0.028856199234724045
continuation_016,continuation,"Continue this sentence into a short paragraph: The proposal looked innovative, but...",step143000,step64000,0.02861011028289795
style_opening_009,style_opening,Write the opening paragraph of an essay about institutions.,step143000,step64000,0.028453124687075615
style_opening_010,style_opening,Write the opening paragraph of an essay about maintenance.,step143000,step64000,0.02649647556245327
advice_020,advice,A nonprofit has an ambitious mission but weak coordination. What should it do first?,step143000,step64000,0.02643468976020813
explanation_017,explanation,Explain why schools assign reading lists.,step143000,step64000,0.026264039799571037
judgment_006,judgment,Should a teacher grade participation heavily or lightly?,step143000,step64000,0.026113882660865784
continuation_002,continuation,"Continue this sentence into a short paragraph: The committee agreed on the rule, but...",step143000,step64000,0.025568392127752304
explanation_012,explanation,Explain why research groups maintain lab notebooks.,step143000,step64000,0.025295374915003777
explanation_004,explanation,Explain why museums use wall labels.,step143000,step64000,0.025179464370012283
style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,step143000,step64000,0.025164302438497543
style_opening_002,style_opening,Write the opening paragraph of an essay about public trust.,step143000,step64000,0.0249056126922369
style_opening_011,style_opening,Write the opening paragraph of an essay about attention.,step143000,step64000,0.024898555129766464
judgment_007,judgment,Should public policy favor simple rules or case-by-case discretion?,step143000,step64000,0.024828165769577026
continuation_015,continuation,"Continue this sentence into a short paragraph: The neighborhood welcomed the project, but...",step143000,step64000,0.023983433842658997
style_opening_007,style_opening,Write the opening paragraph of an essay about revision.,step143000,step64000,0.023509418591856956
style_opening_014,style_opening,Write the opening paragraph of an essay about repair.,step143000,step64000,0.02347481995820999
explanation_013,explanation,Explain why legislatures use committees.,step143000,step64000,0.023297376930713654
advice_011,advice,A public agency receives contradictory feedback from residents. What should it do first?,step143000,step64000,0.02308523654937744
