prompt_id,prompt_family,prompt,mean_anchor_js,min_anchor_js,max_anchor_js,comparison_count
advice_001,advice,A student is overwhelmed by choices. What should they do first?,0.030920542155702908,0.005091299302875996,0.08041606843471527,3
advice_002,advice,A team has too many priorities and too little time. What should they do first?,0.020729965219895046,0.012594953179359436,0.026788562536239624,3
advice_003,advice,A researcher has collected too much material for one paper. What should they do first?,0.027754319831728935,0.018140416592359543,0.04368177056312561,3
advice_004,advice,A city office wants to improve a failing service with limited budget. What should it do first?,0.019979954076309998,0.005486846901476383,0.04012653976678848,3
advice_005,advice,A student wrote a draft that says too many things at once. What should they do first?,0.010229447002833089,0.0038326012436300516,0.021364614367485046,3
advice_006,advice,A librarian needs to organize a confusing community program. What should they do first?,0.03647162578999996,0.017414642497897148,0.06742888689041138,3
advice_007,advice,A manager inherits a project with unclear ownership. What should they do first?,0.025180821927885216,0.01477248314768076,0.032188259065151215,3
advice_008,advice,A committee wants better decisions but its meetings drift. What should it do first?,0.02141315086434285,0.00504572968930006,0.036684550344944,3
advice_009,advice,A student has chosen a thesis topic that is too broad. What should they do first?,0.043480683118104935,0.029512975364923477,0.05391041189432144,3
advice_010,advice,A museum educator wants to make a complex exhibit easier to follow. What should they do first?,0.01866963195304076,0.008993109688162804,0.030649282038211823,3
advice_011,advice,A public agency receives contradictory feedback from residents. What should it do first?,0.03908354137092829,0.0072965798899531364,0.06710360944271088,3
advice_012,advice,A team keeps revisiting the same argument without resolving it. What should they do first?,0.010930102008084456,0.008516879752278328,0.015263763256371021,3
advice_013,advice,A student is falling behind because every assignment feels equally urgent. What should they do first?,0.04206963535398245,0.015565951354801655,0.07729088515043259,3
advice_014,advice,A department wants better mentoring but no one agrees on the problem. What should they do first?,0.011266411903003851,0.005814089439809322,0.015827758237719536,3
advice_015,advice,A community group wants to revive a dormant project. What should they do first?,0.0332330750922362,0.009767435491085052,0.06324540078639984,3
advice_016,advice,A research assistant has messy notes and a deadline. What should they do first?,0.02783311204984784,0.005501688923686743,0.05050569027662277,3
advice_017,advice,A small town wants to improve civic participation. What should it do first?,0.03459293736765782,0.009226339869201183,0.05875196307897568,3
advice_018,advice,A team is adopting a new tool but confusion is spreading. What should they do first?,0.02049324195832014,0.007648699916899204,0.03411409258842468,3
advice_019,advice,A student wants to study more effectively but keeps rereading passively. What should they do first?,0.020051076387365658,0.009753972291946411,0.028569886460900307,3
advice_020,advice,A nonprofit has an ambitious mission but weak coordination. What should it do first?,0.02649035584181547,0.007462239824235439,0.052666645497083664,3
argument_001,argument,Give the strongest argument against using exams as the main measure of learning.,0.020409850869327784,0.002054616343230009,0.03916938230395317,3
argument_002,argument,Give the strongest argument against measuring a city's health only by economic growth.,0.04081586624185244,0.01578136906027794,0.06307215243577957,3
argument_003,argument,Give the strongest argument against replacing libraries with fully digital services.,0.014434040834506353,0.00427611730992794,0.02176152728497982,3
argument_004,argument,Give the strongest argument against making speed the main value in journalism.,0.055328428745269775,0.016110770404338837,0.10268457233905792,3
argument_005,argument,Give the strongest argument against evaluating research only by citation counts.,0.043560310577352844,0.011793030425906181,0.06564304977655411,3
argument_006,argument,Give the strongest argument against strict zero-tolerance school discipline policies.,0.01772369599590699,0.003794063813984394,0.030183427035808563,3
argument_007,argument,Give the strongest argument against using attendance as a proxy for engagement.,0.06608582908908527,0.012261878699064255,0.12975093722343445,3
argument_008,argument,Give the strongest argument against centralizing all public services in one office.,0.024002208995322388,0.008160236291587353,0.040147874504327774,3
argument_009,argument,Give the strongest argument against relying on rankings to compare universities.,0.04737358229855696,0.009669521823525429,0.07170893251895905,3
argument_010,argument,Give the strongest argument against reducing civic education to factual memorization.,0.06849711357305448,0.0058743832632899284,0.17934702336788177,3
argument_011,argument,Give the strongest argument against treating efficiency as the main measure of public value.,0.02146848353246848,0.003458235412836075,0.05065372213721275,3
argument_012,argument,Give the strongest argument against eliminating peer review from grant decisions.,0.0405515314390262,0.014298463240265846,0.07500369846820831,3
argument_013,argument,Give the strongest argument against judging writing only by grammar and correctness.,0.026199909547964733,0.005914177745580673,0.03801240772008896,3
argument_014,argument,Give the strongest argument against moving all local news behind paywalls.,0.03835972025990486,0.012318704277276993,0.06802888214588165,3
argument_015,argument,Give the strongest argument against using one metric to evaluate teachers.,0.04939051500211159,0.008321833796799183,0.11299145221710205,3
argument_016,argument,Give the strongest argument against replacing public hearings with online surveys.,0.018459749408066273,0.0044231293722987175,0.026432430371642113,3
argument_017,argument,Give the strongest argument against treating consensus as proof of correctness.,0.026150336023420095,0.006679095793515444,0.048330411314964294,3
argument_018,argument,Give the strongest argument against prioritizing novelty over maintenance in funding decisions.,0.056699212019642196,0.014238746836781502,0.12069664150476456,3
argument_019,argument,Give the strongest argument against assuming transparency alone creates trust.,0.01984302078684171,0.00725218653678894,0.032882675528526306,3
argument_020,argument,Give the strongest argument against using automation as the default response to every coordination problem.,0.019319947498540085,0.0033972570672631264,0.044353269040584564,3
continuation_001,continuation,"Continue this sentence into a short paragraph: The old machine started working again, but...",0.020611813912789028,0.005358779802918434,0.03908934444189072,3
