seed,model_id,model_family,model_size_label,identity_frame,other_frame,prompt_id,prompt_family,prompt,pair_type,variant,orientation,self_on_label_a,selected_short_label,selected_label,valid_choice,selected_source,chose_self,selection_confidence,style_distance,semantic_overlap,self_text,foil_text,choice_prompt_completion,choice_details_json
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,same_frame_other_seed,raw,self_first,1.0,B,B,1.0,foil,0.0,0.5397414565086365,2.26876918683728,0.3783389548934254,"An e-mail, email, name, or phone number was sent to the team. Who had been there. Then where did you have the file?","Re: I had to come to a meeting on the web. I was working on the question in the project last year. The answer was just to make the question put, where I could answer the question for a long time.",,"{""raw_logit_scores"": {""A"": 1078.8050537109375, ""B"": 1077.5921630859375}, ""label_bias_scores"": {""A"": 1080.681884765625, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -1.8768310546875, ""B"": -1.717529296875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,same_frame_other_seed,raw,self_second,0.0,B,B,1.0,self,1.0,0.50030517578125,2.26876918683728,0.3783389548934254,"An e-mail, email, name, or phone number was sent to the team. Who had been there. Then where did you have the file?","Re: I had to come to a meeting on the web. I was working on the question in the project last year. The answer was just to make the question put, where I could answer the question for a long time.",,"{""raw_logit_scores"": {""A"": 1078.896728515625, ""B"": 1077.5257568359375}, ""label_bias_scores"": {""A"": 1080.681884765625, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -1.78515625, ""B"": -1.783935546875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,same_frame_other_seed,paraphrased,self_first,1.0,B,B,1.0,foil,0.0,0.5476455092430115,2.1559450446336186,0.36862990796973294,The file was sent to the team. Who had been there. Then where did you have the file?,I have to go back to the question. I have to go back to the question. I have to go back to the question. I have to go back to the question. I have to go back to the question. I have,,"{""raw_logit_scores"": {""A"": 1078.995361328125, ""B"": 1077.8138427734375}, ""label_bias_scores"": {""A"": 1080.682373046875, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -1.68701171875, ""B"": -1.495849609375}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,same_frame_other_seed,paraphrased,self_second,0.0,B,B,1.0,self,1.0,0.6577582955360413,2.1559450446336186,0.36862990796973294,The file was sent to the team. Who had been there. Then where did you have the file?,I have to go back to the question. I have to go back to the question. I have to go back to the question. I have to go back to the question. I have to go back to the question. I have,,"{""raw_logit_scores"": {""A"": 1078.6236572265625, ""B"": 1077.904296875}, ""label_bias_scores"": {""A"": 1080.682373046875, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -2.0587158203125, ""B"": -1.4053955078125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,other_frame,raw,self_first,1.0,A,A,1.0,self,1.0,0.5169003009796143,1.2288948757228515,0.16984155512168939,"An e-mail, email, name, or phone number was sent to the team. Who had been there. Then where did you have the file?","For all of them, it's more practical to assign a process to two projects. When you have more than one project in place, you're making a community archive. The individual process is becoming increasingly more important.",,"{""raw_logit_scores"": {""A"": 1078.8876953125, ""B"": 1077.447509765625}, ""label_bias_scores"": {""A"": 1080.6827392578125, ""B"": 1079.3101806640625}, ""corrected_scores"": {""A"": -1.7950439453125, ""B"": -1.8626708984375}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,other_frame,raw,self_second,0.0,A,A,1.0,foil,0.0,0.542742133140564,1.2288948757228515,0.16984155512168939,"An e-mail, email, name, or phone number was sent to the team. Who had been there. Then where did you have the file?","For all of them, it's more practical to assign a process to two projects. When you have more than one project in place, you're making a community archive. The individual process is becoming increasingly more important.",,"{""raw_logit_scores"": {""A"": 1078.941650390625, ""B"": 1077.397705078125}, ""label_bias_scores"": {""A"": 1080.6827392578125, ""B"": 1079.3101806640625}, ""corrected_scores"": {""A"": -1.7410888671875, ""B"": -1.9124755859375}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,other_frame,paraphrased,self_first,1.0,B,B,1.0,foil,0.0,0.534339189529419,2.082087691044458,0.2588061792330505,The file was sent to the team. Who had been there. Then where did you have the file?,"I'm not going to write a post about the project, but I'm going to write a post about the project. I'm going to write a post about the project. I'm going to write a post about the project. I",,"{""raw_logit_scores"": {""A"": 1078.7470703125, ""B"": 1077.511962890625}, ""label_bias_scores"": {""A"": 1080.682373046875, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -1.935302734375, ""B"": -1.7977294921875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_01,triage,A community archive just realized that volunteers have been naming files in incompatible ways for months. What should the coordinators do first?,other_frame,paraphrased,self_second,0.0,B,B,1.0,self,1.0,0.6114109754562378,2.082087691044458,0.2588061792330505,The file was sent to the team. Who had been there. Then where did you have the file?,"I'm not going to write a post about the project, but I'm going to write a post about the project. I'm going to write a post about the project. I'm going to write a post about the project. I",,"{""raw_logit_scores"": {""A"": 1078.5760498046875, ""B"": 1077.6566162109375}, ""label_bias_scores"": {""A"": 1080.682373046875, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -2.1063232421875, ""B"": -1.653076171875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_02,critique,Give feedback on a methods paragraph that keeps mixing procedural detail with interpretation.,same_frame_other_seed,raw,self_first,1.0,B,B,1.0,foil,0.0,0.5198869705200195,1.9639538853361327,0.0563436169819011,Use a simple example to communicate your logic with context.,"Check for mixed errors or errors.

Class: Something that will fail in the class method with the data.
Class: Something that will fail in the class method with the data.
Class: Something that will fail in the class",A,"{""raw_logit_scores"": {""A"": 1077.5301513671875, ""B"": 1076.237060546875}, ""label_bias_scores"": {""A"": 1080.6815185546875, ""B"": 1079.308837890625}, ""corrected_scores"": {""A"": -3.1513671875, ""B"": -3.07177734375}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,stable_style_policy,sma_02,critique,Give feedback on a methods paragraph that keeps mixing procedural detail with interpretation.,same_frame_other_seed,raw,self_second,0.0,A,A,1.0,foil,0.0,0.5522982478141785,1.9639538853361327,0.0563436169819011,Use a simple example to communicate your logic with context.,"Check for mixed errors or errors.

Class: Something that will fail in the class method with the data.
Class: Something that will fail in the class method with the data.
Class: Something that will fail in the class",A,"{""raw_logit_scores"": {""A"": 1077.470703125, ""B"": 1075.8880615234375}, ""label_bias_scores"": {""A"": 1080.6815185546875, ""B"": 1079.308837890625}, ""corrected_scores"": {""A"": -3.2108154296875, ""B"": -3.4207763671875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
