prompt_id,prompt_family,prompt,mean_anchor_js,min_anchor_js,max_anchor_js,comparison_count,selection_rank
explanation_016,explanation,Explain why teams keep revision logs.,0.1316202643016974,0.025890547782182693,0.31410521268844604,3,1
explanation_014,explanation,Explain why cities zone industrial districts.,0.11644655714432399,0.040461957454681396,0.21800336241722107,3,2
explanation_019,explanation,Explain why local governments post meeting minutes.,0.10464742500334978,0.009370519779622555,0.2150937020778656,3,3
judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,0.10037914477288723,0.008409181609749794,0.23068413138389587,3,4
judgment_012,judgment,Should a court prefer bright-line rules or flexible standards?,0.09105691406875849,0.014980937354266644,0.20350760221481323,3,5
explanation_017,explanation,Explain why schools assign reading lists.,0.08539809038241704,0.02153143286705017,0.15035952627658844,3,6
explanation_009,explanation,Explain why universities require office hours.,0.07719687993327777,0.01876603439450264,0.13680866360664368,3,7
judgment_006,judgment,Should a teacher grade participation heavily or lightly?,0.07712848484516144,0.022783882915973663,0.11149679124355316,3,8
judgment_019,judgment,Should a firm reward individual stars or consistent team contributors?,0.07280603734155495,0.021129531785845757,0.13660451769828796,3,9
explanation_003,explanation,Explain why schools keep science laboratories.,0.06564941598723333,0.015075343661010265,0.12213169038295746,3,10
judgment_009,judgment,Should a university require broad general education or early specialization?,0.06104319480558237,0.019243275746703148,0.10672637820243835,3,11
judgment_005,judgment,Should a hospital use first-come service or urgency-based triage during overload?,0.06027267904331287,0.014804058708250523,0.0848064199090004,3,12
