model_id,model_family,model_size_label,source_revision,source_step,prompt_id,prompt_family,prompt,completion_text,completion_char_count,generation_valid,generation_invalid_reason,generation_token_count,unique_token_ratio,top_token_rate,top_bigram_rate
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,continuation_020,continuation,"Continue this sentence into a short paragraph: The meeting ended with agreement, but...","

The meeting ended with agreement, but...

The meeting ended with agreement, but...

The meeting ended with agreement, but...

The meeting ended with agreement, but...

The meeting ended with agreement, but...

The meeting ended with",234,0,low_unique_token_ratio,34,0.17647058823529413,0.17647058823529413,0.18181818181818182
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_015,explanation,Explain why conferences use peer review.,"

The conference is a great way to get feedback from your peers.

The conference is a great way to get feedback from your peers.

The conference is a great way to get feedback from your peers.

The conference is a great way to get feedback",239,0,low_unique_token_ratio,45,0.26666666666666666,0.08888888888888889,0.09090909090909091
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_018,style_opening,Write the opening paragraph of an essay about access.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a short introduction that is",253,1,,49,0.46938775510204084,0.10204081632653061,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,argument_007,argument,Give the strongest argument against using attendance as a proxy for engagement.,"

The best way to do this is to use the following:

1. Ask the person to describe the event.

2. Ask the person to describe the event.

3. Ask the person to describe the event.

4. Ask the",188,0,low_unique_token_ratio,34,0.38235294117647056,0.2647058823529412,0.12121212121212122
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_019,style_opening,Write the opening paragraph of an essay about expertise and doubt.,"

The first step is to identify the problem. The problem is not the problem, but the problem. The problem is the problem.

The problem is not the problem, but the problem.

The problem is not the problem, but the problem.

",223,0,low_unique_token_ratio,40,0.225,0.325,0.3076923076923077
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,argument_003,argument,Give the strongest argument against replacing libraries with fully digital services.,"

The best way to do this is to use a library that is fully digital. This is the best way to do this because it is the only way to make sure that the library is fully digital.

The best way to do this is to use a library that",225,0,low_unique_token_ratio,50,0.36,0.12,0.08163265306122448
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,argument_008,argument,Give the strongest argument against centralizing all public services in one office.,"

The most important thing to remember is that the government is not a private corporation. It is a public corporation. It is a public entity. It is a public entity. It is a public entity. It is a public entity. It is a public entity. It is",240,0,low_unique_token_ratio,47,0.3404255319148936,0.19148936170212766,0.15217391304347827
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_018,judgment,Should an instructor prioritize mastery or coverage in a difficult course?,"

The answer is yes.

The question is, “What is the most important thing you can do to improve your mastery of a difficult course?”

The answer is, “I don’t know.”

The question is, “What is the most",199,1,,38,0.631578947368421,0.15789473684210525,0.05405405405405406
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,"

The newsroom is a place where you can find out what’s going on in the world. It’s a place where you can find out what’s going on in the world. It’s a place where you can find out what’s going on",196,0,low_unique_token_ratio,46,0.3695652173913043,0.10869565217391304,0.06666666666666667
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,continuation_004,continuation,"Continue this sentence into a short paragraph: The plan looked simple on paper, but...","

The plan looked simple on paper, but it was a lot of work.

The plan was a lot of work.

The plan was a lot of work.

The plan was a lot of work.

The plan was a lot of work",175,0,low_unique_token_ratio,41,0.3170731707317073,0.12195121951219512,0.125
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,continuation_019,continuation,"Continue this sentence into a short paragraph: The map was accurate, but...","

The map was accurate, but...

The map was accurate, but...

The map was accurate, but...

The map was accurate, but...

The map was accurate, but...

The map was accurate, but...

",182,0,low_unique_token_ratio,30,0.16666666666666666,0.2,0.20689655172413793
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,continuation_008,continuation,"Continue this sentence into a short paragraph: The report answered the question, but...","

The report answered the question, but...

The report answered the question, but...

The report answered the question, but...

The report answered the question, but...

The report answered the question, but...

The report answered the",235,0,low_unique_token_ratio,34,0.14705882352941177,0.35294117647058826,0.18181818181818182
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_014,judgment,Should a school ban phones outright or regulate their use?,"

The answer is yes.

The first step in the process is to understand what the school is doing.

The second step is to understand what the school is doing.

The third step is to understand what the school is doing.

The fourth",225,0,low_unique_token_ratio,42,0.38095238095238093,0.21428571428571427,0.07317073170731707
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,advice_017,advice,A small town wants to improve civic participation. What should it do first?,"

The city of St. Louis is trying to improve the civic participation of its citizens by creating a new civic center.

The city of St. Louis is trying to improve the civic participation of its citizens by creating a new civic center.

The city of St",248,0,low_unique_token_ratio,46,0.391304347826087,0.10869565217391304,0.06666666666666667
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_013,style_opening,Write the opening paragraph of an essay about delay.,"

The first thing you should do is to write a short introduction. This is a good way to introduce yourself to the reader and to make them feel comfortable with you.

The second thing you should do is to write a short conclusion. This is a good way to",250,1,,49,0.5306122448979592,0.12244897959183673,0.041666666666666664
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_008,style_opening,Write the opening paragraph of an essay about evidence.,"

The first step is to identify the evidence that supports your argument. This is a very important step.

The second step is to identify the evidence that supports your argument. This is a very important step.

The third step is to identify the evidence that supports",267,0,low_unique_token_ratio,46,0.3695652173913043,0.13043478260869565,0.06666666666666667
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,advice_006,advice,A librarian needs to organize a confusing community program. What should they do first?,"

The first step is to find a community that is willing to organize a library. The second step is to find a community that is willing to organize a library.

The first step is to find a community that is willing to organize a library. The second step is",253,0,low_unique_token_ratio,49,0.2653061224489796,0.14285714285714285,0.08333333333333333
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_020,style_opening,Write the opening paragraph of an essay about common goods.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a conclusion. This is",246,1,,48,0.5,0.10416666666666667,0.06382978723404255
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a short introduction that is",253,1,,49,0.46938775510204084,0.10204081632653061,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,argument_017,argument,Give the strongest argument against treating consensus as proof of correctness.,"

The following is a simple example of a consensus-based proof of correctness.

Let $X$ be a set and let $A$ be a set. Let $A_1,A_2,A_3$ be sets such that $A_",158,0,high_top_token_rate,33,0.5757575757575758,0.2727272727272727,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,advice_002,advice,A team has too many priorities and too little time. What should they do first?,"

The team is not a team. It is a team of people. It is a team of people who are not afraid to be themselves.

The team is not a team of people who are afraid to be themselves.

The team is not a team of",203,0,low_unique_token_ratio,46,0.30434782608695654,0.17391304347826086,0.1111111111111111
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_007,explanation,Explain why towns maintain public transit.,"

“We’re not going to be able to do this without public transportation,” said Mayor John Hancock. “We’re going to have to do this on a local level.”

The city is also considering a proposal to build a new $1.5",209,1,,40,0.725,0.125,0.05128205128205128
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_011,explanation,Explain why newspapers keep corrections pages.,"

The New York Times is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a",265,0,low_unique_token_ratio,54,0.14814814814814814,0.24074074074074073,0.24528301886792453
