model_id,model_family,model_size_label,source_revision,source_step,prompt_id,prompt_family,prompt,completion_text,completion_char_count,generation_valid,generation_invalid_reason,generation_token_count,unique_token_ratio,top_token_rate,top_bigram_rate
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_015,explanation,Explain why conferences use peer review.,"

The conference is a great opportunity for the conference to be a great opportunity for the conference to be a great opportunity for the conference to be a great opportunity for the conference to be a great opportunity for the conference to be a great opportunity for the conference to be a great opportunity",309,0,low_unique_token_ratio,54,0.16666666666666666,0.12962962962962962,0.1320754716981132
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_018,style_opening,Write the opening paragraph of an essay about access.,"

The essay is a great example of the power of the essayist. The essayist is a great example of the power of the essayist. The essayist is a great example of the power of the essayist. The essayist is a great example of the power",229,0,low_unique_token_ratio,45,0.2,0.24444444444444444,0.1590909090909091
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_019,style_opening,Write the opening paragraph of an essay about expertise and doubt.,"

The essay is a great example of the importance of the essay to the reader. It is a great example of the importance of the essay to the reader.

The essay is a great example of the importance of the essay to the reader. It is a great example",242,0,low_unique_token_ratio,49,0.22448979591836735,0.22448979591836735,0.125
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_018,judgment,Should an instructor prioritize mastery or coverage in a difficult course?,"

The best way to do this is to have a teacher who is knowledgeable about the subject and who is willing to help you with your course.

The best way to do this is to have a teacher who is knowledgeable about the subject and who is willing to help you",250,0,low_unique_token_ratio,51,0.4117647058823529,0.11764705882352941,0.08
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,"

I’m not sure if this is the right place to ask. I’m not sure if it’s the right place to ask.

I’m not sure if it’s the right place to ask. I’m not sure if it’",160,0,low_unique_token_ratio,42,0.3333333333333333,0.09523809523809523,0.0975609756097561
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_014,judgment,Should a school ban phones outright or regulate their use?,"

I’m not sure what the hell you are talking about. I’m not sure what the hell you are talking about.

I’m not sure what the hell you are talking about. I’m not sure what the hell you are talking about.",202,0,low_unique_token_ratio,44,0.25,0.09090909090909091,0.09302325581395349
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_013,style_opening,Write the opening paragraph of an essay about delay.,"

The essay is a bit of a long-winded, but it is a bit of a long-winded, and it is a bit of a long-winded, but it is a bit of a long-winded, and it is a bit of",159,0,low_unique_token_ratio,42,0.2619047619047619,0.21428571428571427,0.12195121951219512
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_008,style_opening,Write the opening paragraph of an essay about evidence.,"

The essay is a great example of the way in which the essay is written. It is a great example of the way in which the essay is written. It is a great example of the way in which the essay is written. It is a great example of the way",233,0,low_unique_token_ratio,51,0.23529411764705882,0.1568627450980392,0.08
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_020,style_opening,Write the opening paragraph of an essay about common goods.,"

The essay is a great example of the importance of the essay to the reader. It is a great example of the importance of the essay to the reader. It is a great example of the importance of the essay to the reader.

The essay is a great example",242,0,low_unique_token_ratio,49,0.22448979591836735,0.22448979591836735,0.125
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,"

The essay is a great example of the power of the essayist to make the reader feel like a real person.

The essayist is a great example of the power of the essayist to make the reader feel like a real person.

The essayist",223,0,low_unique_token_ratio,44,0.36363636363636365,0.20454545454545456,0.09302325581395349
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_007,explanation,Explain why towns maintain public transit.,"

The city of San Francisco has been a major transit hub for the past few years, and the city has been a major transit hub for the past few years.

The city has been a major transit hub for the past few years, and the city has been a",233,0,low_unique_token_ratio,49,0.32653061224489793,0.14285714285714285,0.08333333333333333
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_011,explanation,Explain why newspapers keep corrections pages.,"

The New York Times has a long history of reporting on the New York Times, and the New York Times has a long history of reporting on the New York Times.

The New York Times has a long history of reporting on the New York Times, and the New",240,0,low_unique_token_ratio,49,0.24489795918367346,0.14285714285714285,0.14583333333333334
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_003,judgment,Should a museum favor accessibility or historical completeness when writing labels?,"

I’m not sure what the best way to do this is. I’m not sure what the best way to do this is. I’m not sure what the best way to do this is. I’m not sure what the best way to do this",181,0,low_unique_token_ratio,47,0.2553191489361702,0.0851063829787234,0.08695652173913043
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_011,style_opening,Write the opening paragraph of an essay about attention.,"

The essay is a great example of the way in which the essay is written. It is a great example of the way in which the essay is written. It is a great example of the way in which the essay is written.

The essay is a great example",230,0,low_unique_token_ratio,49,0.24489795918367346,0.16326530612244897,0.10416666666666667
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_008,explanation,Explain why archives preserve administrative records.,"

The government has also been trying to get the records of the U.S. military and the U.S. military to be released.

The government has also been trying to get the records of the U.S. military and the U.S. military",214,0,low_unique_token_ratio,43,0.37209302325581395,0.18604651162790697,0.09523809523809523
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_014,explanation,Explain why cities zone industrial districts.,"

The city’s industrial district is located in the city of San Francisco.

The city’s industrial district is located in the city of San Francisco.

The city’s industrial district is located in the city of San Francisco.

The city of",232,0,low_unique_token_ratio,42,0.2619047619047619,0.16666666666666666,0.17073170731707318
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_012,explanation,Explain why research groups maintain lab notebooks.,"

The study was conducted in collaboration with the University of California, San Francisco, and the University of California, San Francisco. The study was conducted in collaboration with the University of California, San Francisco, and the University of California, San Francisco.

The study was conducted",306,0,low_unique_token_ratio,44,0.29545454545454547,0.1590909090909091,0.09302325581395349
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_013,judgment,Should a community preserve a historic building or replace it with housing?,"

I’m not sure what the answer is. I’m not sure what the answer is.

I’m not sure what the answer is. I’m not sure what the answer is.

I’m not sure what the answer is.",168,0,low_unique_token_ratio,40,0.2,0.125,0.1282051282051282
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,style_opening_001,style_opening,Write the opening paragraph of an essay about memory.,"

The essay is a great example of the power of the essayist. It is a great example of the power of the essayist. It is a great example of the power of the essayist. It is a great example of the power of the essayist. It",219,0,low_unique_token_ratio,46,0.21739130434782608,0.1956521739130435,0.17777777777777778
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_010,explanation,Explain why software teams use version control.,"

I think the problem is that the version control system is not the same as the version control system.

I think the problem is that the version control system is not the same as the version control system.

I think the problem is that the version control system",262,0,low_unique_token_ratio,48,0.25,0.20833333333333334,0.10638297872340426
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_017,judgment,Should a town build a large central park or several smaller parks?,"

I’m not sure if this is the right place to ask this question, but I’m sure it’s not.

I’m not sure if this is the right place to ask this question, but I’m sure it’s not.",172,0,low_unique_token_ratio,42,0.38095238095238093,0.09523809523809523,0.0975609756097561
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,judgment_009,judgment,Should a university require broad general education or early specialization?,"

The University of Toronto has a long history of being a university that has been a bastion of the university’s reputation for being a place of learning. It has been a place of learning for many years, and it has been a place of learning for many years.",254,0,low_unique_token_ratio,49,0.42857142857142855,0.12244897959183673,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_004,explanation,Explain why museums use wall labels.,"

The museum is located in the heart of the city, and the museum is a great place to see the city’s history. The museum is a great place to see the city’s history, and it’s a great place to see the city’s history",212,0,low_unique_token_ratio,47,0.3617021276595745,0.1702127659574468,0.08695652173913043
EleutherAI/pythia-410m-deduped,pythia,410m,step4000,4000,explanation_013,explanation,Explain why legislatures use committees.,"

The House passed a resolution last week that would have required the House to pass a bill that would have required the House to pass a bill that would have required the House to pass a bill that would have required the House to pass a bill that would have required the House to",279,0,low_unique_token_ratio,54,0.25925925925925924,0.1111111111111111,0.11320754716981132
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_015,explanation,Explain why conferences use peer review.,"

The conference is a great way to get feedback from your peers.

The conference is a great way to get feedback from your peers.

The conference is a great way to get feedback from your peers.

The conference is a great way to get feedback",239,0,low_unique_token_ratio,45,0.26666666666666666,0.08888888888888889,0.09090909090909091
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_018,style_opening,Write the opening paragraph of an essay about access.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a short introduction that is",253,1,,49,0.46938775510204084,0.10204081632653061,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_019,style_opening,Write the opening paragraph of an essay about expertise and doubt.,"

The first step is to identify the problem. The problem is not the problem, but the problem. The problem is the problem.

The problem is not the problem, but the problem.

The problem is not the problem, but the problem.

",223,0,low_unique_token_ratio,40,0.225,0.325,0.3076923076923077
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_018,judgment,Should an instructor prioritize mastery or coverage in a difficult course?,"

The answer is yes.

The question is, “What is the most important thing you can do to improve your mastery of a difficult course?”

The answer is, “I don’t know.”

The question is, “What is the most",199,1,,38,0.631578947368421,0.15789473684210525,0.05405405405405406
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,"

The newsroom is a place where you can find out what’s going on in the world. It’s a place where you can find out what’s going on in the world. It’s a place where you can find out what’s going on",196,0,low_unique_token_ratio,46,0.3695652173913043,0.10869565217391304,0.06666666666666667
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_014,judgment,Should a school ban phones outright or regulate their use?,"

The answer is yes.

The first step in the process is to understand what the school is doing.

The second step is to understand what the school is doing.

The third step is to understand what the school is doing.

The fourth",225,0,low_unique_token_ratio,42,0.38095238095238093,0.21428571428571427,0.07317073170731707
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_013,style_opening,Write the opening paragraph of an essay about delay.,"

The first thing you should do is to write a short introduction. This is a good way to introduce yourself to the reader and to make them feel comfortable with you.

The second thing you should do is to write a short conclusion. This is a good way to",250,1,,49,0.5306122448979592,0.12244897959183673,0.041666666666666664
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_008,style_opening,Write the opening paragraph of an essay about evidence.,"

The first step is to identify the evidence that supports your argument. This is a very important step.

The second step is to identify the evidence that supports your argument. This is a very important step.

The third step is to identify the evidence that supports",267,0,low_unique_token_ratio,46,0.3695652173913043,0.13043478260869565,0.06666666666666667
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_020,style_opening,Write the opening paragraph of an essay about common goods.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a conclusion. This is",246,1,,48,0.5,0.10416666666666667,0.06382978723404255
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a short introduction that is",253,1,,49,0.46938775510204084,0.10204081632653061,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_007,explanation,Explain why towns maintain public transit.,"

“We’re not going to be able to do this without public transportation,” said Mayor John Hancock. “We’re going to have to do this on a local level.”

The city is also considering a proposal to build a new $1.5",209,1,,40,0.725,0.125,0.05128205128205128
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_011,explanation,Explain why newspapers keep corrections pages.,"

The New York Times is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a newspaper that is a",265,0,low_unique_token_ratio,54,0.14814814814814814,0.24074074074074073,0.24528301886792453
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_003,judgment,Should a museum favor accessibility or historical completeness when writing labels?,"

I’m not sure if I’ve ever heard of a museum that has a history of writing labels. I’ve never heard of a museum that has a history of writing labels. I’ve never heard of a museum that has a history of writing labels.",217,0,low_unique_token_ratio,47,0.3617021276595745,0.1276595744680851,0.06521739130434782
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_011,style_opening,Write the opening paragraph of an essay about attention.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a short introduction that is",253,1,,49,0.46938775510204084,0.10204081632653061,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_008,explanation,Explain why archives preserve administrative records.,"

The following is a list of the most common types of administrative records that are stored in the archives:

Administrative Records

The following is a list of the most common types of administrative records that are stored in the archives:

Administrative Records

",268,0,low_unique_token_ratio,42,0.38095238095238093,0.14285714285714285,0.0975609756097561
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_014,explanation,Explain why cities zone industrial districts.,"

The city of San Francisco has been criticized for its lack of industrial districts, and the city’s industrial districts are often the most expensive in the country.

The city’s industrial districts are often the most expensive in the country.

The city’s",256,1,,44,0.4772727272727273,0.18181818181818182,0.09302325581395349
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_012,explanation,Explain why research groups maintain lab notebooks.,"

The lab notebooks are a way to keep track of what you’re doing and where you are. They’re also a way to keep track of what you’re doing and where you are.

The lab notebooks are a way to keep track of",202,0,low_unique_token_ratio,45,0.4,0.08888888888888889,0.06818181818181818
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_013,judgment,Should a community preserve a historic building or replace it with housing?,"

The answer is yes.

The question is, “What is the best way to preserve a historic building?”

The answer is to preserve it.

The question is, “What is the best way to preserve a historic building?”

The answer",211,0,low_unique_token_ratio,38,0.3684210526315789,0.18421052631578946,0.08108108108108109
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,style_opening_001,style_opening,Write the opening paragraph of an essay about memory.,"

The first thing you should do is to write a short introduction. This is a good way to start your essay. You should also write a short introduction that is short and to the point.

The second thing you should do is to write a short introduction that is",253,1,,49,0.46938775510204084,0.10204081632653061,0.0625
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_010,explanation,Explain why software teams use version control.,"

The most important thing to remember is that software is not a tool. It is a tool. It is a tool that can be used to make a product better.

The tool is not a tool. It is a tool that can be used to make a product",213,0,low_unique_token_ratio,48,0.3958333333333333,0.14583333333333334,0.10638297872340426
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_017,judgment,Should a town build a large central park or several smaller parks?,"

A:

I think the answer is yes.  The answer is yes.  The answer is yes.  The answer is yes.

A:

The answer is yes.  The answer is yes.

A:

The answer",152,0,low_unique_token_ratio,31,0.22580645161290322,0.22580645161290322,0.23333333333333334
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,judgment_009,judgment,Should a university require broad general education or early specialization?,"

The answer is yes.

The University of California has a long history of teaching and research in the sciences, and it is a model of excellence in teaching and research.

The University of California is a model of excellence in teaching and research.

The",255,0,low_unique_token_ratio,44,0.4318181818181818,0.11363636363636363,0.06976744186046512
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_004,explanation,Explain why museums use wall labels.,"

The museum’s website has a section devoted to the history of the museum, and the museum’s website has a section devoted to the history of the museum.

The museum’s website has a section devoted to the history of the museum, and the museum",240,0,low_unique_token_ratio,46,0.2608695652173913,0.21739130434782608,0.15555555555555556
EleutherAI/pythia-410m-deduped,pythia,410m,step16000,16000,explanation_013,explanation,Explain why legislatures use committees.,"

The committee’s report, which was released in January, said the state’s “unprecedented” use of the committee’s powers to “create and implement” a new law “is a violation of the state’s constitutional right to a public hearing.”
",230,1,,40,0.7,0.1,0.05128205128205128
EleutherAI/pythia-410m-deduped,pythia,410m,step64000,64000,explanation_015,explanation,Explain why conferences use peer review.,"

The conference is a great opportunity to learn from other people who have done it before.

The conference is a great opportunity to learn from other people who have done it before.

The conference is a great opportunity to learn from other people who have done it before",272,0,low_unique_token_ratio,48,0.3333333333333333,0.0625,0.06382978723404255
