seed,model_id,model_family,model_size_label,identity_frame,prompt_id,prompt_family,prompt,foil_kind,orientation,host_on_label_a,selected_short_label,selected_label,valid_choice,selected_source,chose_host,selection_confidence,style_distance,semantic_overlap,host_text,foil_text,choice_prompt_completion,choice_details_json
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,kin_family_member,host_first,1.0,B,B,1.0,foil,0.0,0.5973142981529236,1.7551287589176061,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","A small research team looking for software tools to read and report on the subject. The process is not going to be as long as they can be accessed, they will see it happen.",,"{""raw_logit_scores"": {""A"": 1078.7939453125, ""B"": 1077.8155517578125}, ""label_bias_scores"": {""A"": 1080.682373046875, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -1.888427734375, ""B"": -1.494140625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,kin_family_member,host_second,0.0,A,A,1.0,foil,0.0,0.8150485157966614,1.7551287589176061,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","A small research team looking for software tools to read and report on the subject. The process is not going to be as long as they can be accessed, they will see it happen.",,"{""raw_logit_scores"": {""A"": 1077.49267578125, ""B"": 1074.6368408203125}, ""label_bias_scores"": {""A"": 1080.682373046875, ""B"": 1079.3096923828125}, ""corrected_scores"": {""A"": -3.189697265625, ""B"": -4.6728515625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,demographic_twin,host_first,1.0,B,B,1.0,foil,0.0,0.6514103412628174,1.4107579493439157,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","A small research team has been working on it for years. This year it looked like a coordinated effort of the new program. That's what I think, but it's not working.


The problem is it's code. You're",,"{""raw_logit_scores"": {""A"": 1078.8150634765625, ""B"": 1078.068359375}, ""label_bias_scores"": {""A"": 1080.6820068359375, ""B"": 1079.31005859375}, ""corrected_scores"": {""A"": -1.866943359375, ""B"": -1.24169921875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,demographic_twin,host_second,0.0,A,A,1.0,foil,0.0,0.7844016551971436,1.4107579493439157,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","A small research team has been working on it for years. This year it looked like a coordinated effort of the new program. That's what I think, but it's not working.


The problem is it's code. You're",,"{""raw_logit_scores"": {""A"": 1077.227294921875, ""B"": 1074.5638427734375}, ""label_bias_scores"": {""A"": 1080.6820068359375, ""B"": 1079.31005859375}, ""corrected_scores"": {""A"": -3.4547119140625, ""B"": -4.7462158203125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,biography_overlap_stranger,host_first,1.0,B,B,1.0,foil,0.0,0.5154674649238586,1.5656112269875329,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","Some of the files are unique and/or at least the same level.
Compiling your data: I'm not interested in data structure or the analysis of the work, I'm interested in structuring your data, and maybe perhaps you",,"{""raw_logit_scores"": {""A"": 1078.888671875, ""B"": 1077.57861328125}, ""label_bias_scores"": {""A"": 1080.6820068359375, ""B"": 1079.31005859375}, ""corrected_scores"": {""A"": -1.7933349609375, ""B"": -1.7314453125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,biography_overlap_stranger,host_second,0.0,A,A,1.0,foil,0.0,0.7087924480438232,1.5656112269875329,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","Some of the files are unique and/or at least the same level.
Compiling your data: I'm not interested in data structure or the analysis of the work, I'm interested in structuring your data, and maybe perhaps you",,"{""raw_logit_scores"": {""A"": 1077.00732421875, ""B"": 1074.745849609375}, ""label_bias_scores"": {""A"": 1080.6820068359375, ""B"": 1079.31005859375}, ""corrected_scores"": {""A"": -3.6746826171875, ""B"": -4.564208984375}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,random_stranger,host_first,1.0,B,B,1.0,foil,0.0,0.6726274490356445,1.2734641127492754,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","(You are making new effort to fix problem, but you need to fix it yourself)
Server:
Completed Task:
Operational Time: 2025 - Fedora 2019
1/17/2027 - GRUB -",,"{""raw_logit_scores"": {""A"": 1077.563720703125, ""B"": 1076.911376953125}, ""label_bias_scores"": {""A"": 1080.6815185546875, ""B"": 1079.30908203125}, ""corrected_scores"": {""A"": -3.1177978515625, ""B"": -2.397705078125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_01,triage,A small research team keeps losing track of versioned files during handoffs. What should they fix first?,random_stranger,host_second,0.0,A,A,1.0,foil,0.0,0.7173584699630737,1.2734641127492754,0.0,"An e-mail response (ECON).


[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Important Reading ]

[Import","(You are making new effort to fix problem, but you need to fix it yourself)
Server:
Completed Task:
Operational Time: 2025 - Fedora 2019
1/17/2027 - GRUB -",,"{""raw_logit_scores"": {""A"": 1076.8900146484375, ""B"": 1074.586181640625}, ""label_bias_scores"": {""A"": 1080.6815185546875, ""B"": 1079.30908203125}, ""corrected_scores"": {""A"": -3.79150390625, ""B"": -4.722900390625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_02,critique,Give feedback on a draft memo that sounds polished but hides the main recommendation until the end.,kin_family_member,host_first,1.0,B,B,1.0,foil,0.0,0.50140380859375,1.8597690698217741,0.1767766952966369,Add a comment below to the list of final components of the description of the topic.,"Calling for a draft memo is a silly question.
Message: Your team is so welcome to work on it. If your team doesn’t address it, you will have to review the memo’s format. Make sure it’",Your,"{""raw_logit_scores"": {""A"": 1078.262939453125, ""B"": 1076.896240234375}, ""label_bias_scores"": {""A"": 1080.681884765625, ""B"": 1079.3095703125}, ""corrected_scores"": {""A"": -2.4189453125, ""B"": -2.413330078125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,kld_02,critique,Give feedback on a draft memo that sounds polished but hides the main recommendation until the end.,kin_family_member,host_second,0.0,A,A,1.0,foil,0.0,0.5041197538375854,1.8597690698217741,0.1767766952966369,Add a comment below to the list of final components of the description of the topic.,"Calling for a draft memo is a silly question.
Message: Your team is so welcome to work on it. If your team doesn’t address it, you will have to review the memo’s format. Make sure it’",,"{""raw_logit_scores"": {""A"": 1078.0855712890625, ""B"": 1076.69677734375}, ""label_bias_scores"": {""A"": 1080.681884765625, ""B"": 1079.3095703125}, ""corrected_scores"": {""A"": -2.5963134765625, ""B"": -2.61279296875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
