prompt_id,prompt_family,prompt,mean_anchor_js,min_anchor_js,max_anchor_js,comparison_count,selection_rank
explanation_016,explanation,Explain why teams keep revision logs.,0.1316202643016974,0.025890547782182693,0.31410521268844604,3,1
explanation_014,explanation,Explain why cities zone industrial districts.,0.11644655714432399,0.040461957454681396,0.21800336241722107,3,2
explanation_019,explanation,Explain why local governments post meeting minutes.,0.10464742500334978,0.009370519779622555,0.2150937020778656,3,3
judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,0.10037914477288723,0.008409181609749794,0.23068413138389587,3,4
judgment_012,judgment,Should a court prefer bright-line rules or flexible standards?,0.09105691406875849,0.014980937354266644,0.20350760221481323,3,5
explanation_017,explanation,Explain why schools assign reading lists.,0.08539809038241704,0.02153143286705017,0.15035952627658844,3,6
explanation_009,explanation,Explain why universities require office hours.,0.07719687993327777,0.01876603439450264,0.13680866360664368,3,7
judgment_006,judgment,Should a teacher grade participation heavily or lightly?,0.07712848484516144,0.022783882915973663,0.11149679124355316,3,8
judgment_019,judgment,Should a firm reward individual stars or consistent team contributors?,0.07280603734155495,0.021129531785845757,0.13660451769828796,3,9
argument_010,argument,Give the strongest argument against reducing civic education to factual memorization.,0.06849711357305448,0.0058743832632899284,0.17934702336788177,3,10
style_opening_020,style_opening,Write the opening paragraph of an essay about common goods.,0.068040463142097,0.011699528433382511,0.127202570438385,3,11
argument_007,argument,Give the strongest argument against using attendance as a proxy for engagement.,0.06608582908908527,0.012261878699064255,0.12975093722343445,3,12
explanation_003,explanation,Explain why schools keep science laboratories.,0.06564941598723333,0.015075343661010265,0.12213169038295746,3,13
style_opening_011,style_opening,Write the opening paragraph of an essay about attention.,0.06343152560293674,0.011693818494677544,0.0925239771604538,3,14
judgment_009,judgment,Should a university require broad general education or early specialization?,0.06104319480558237,0.019243275746703148,0.10672637820243835,3,15
style_opening_018,style_opening,Write the opening paragraph of an essay about access.,0.06087906161944071,0.026330765336751938,0.1017434298992157,3,16
style_opening_017,style_opening,Write the opening paragraph of an essay about rules.,0.06087906161944071,0.026330765336751938,0.1017434298992157,3,17
judgment_005,judgment,Should a hospital use first-come service or urgency-based triage during overload?,0.06027267904331287,0.014804058708250523,0.0848064199090004,3,18
explanation_015,explanation,Explain why conferences use peer review.,0.05959326711793741,0.009304165840148926,0.1405174434185028,3,19
argument_018,argument,Give the strongest argument against prioritizing novelty over maintenance in funding decisions.,0.056699212019642196,0.014238746836781502,0.12069664150476456,3,20
judgment_018,judgment,Should an instructor prioritize mastery or coverage in a difficult course?,0.05617714487016201,0.01508130319416523,0.12222959846258163,3,21
argument_004,argument,Give the strongest argument against making speed the main value in journalism.,0.055328428745269775,0.016110770404338837,0.10268457233905792,3,22
explanation_007,explanation,Explain why towns maintain public transit.,0.05416457944860061,0.013660690747201443,0.09936882555484772,3,23
explanation_006,explanation,Explain why hospitals use triage systems.,0.050531092720727123,0.008541646413505077,0.10668231546878815,3,24
judgment_014,judgment,Should a school ban phones outright or regulate their use?,0.049646606047948204,0.02623770758509636,0.09363555908203125,3,25
