model_id,model_family,model_size_label,identity_frame,axis_name,wrapper_family,wrapper_id,prompt,vector_kind,effect_size,anti_steerable,sign_flip,control_gap
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,iid,iid,Explain why version control matters.,mean_diff,0.019916896460287256,0,0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,iid,iid,Explain why version control matters.,random_orthogonal,-0.0037624092684657422,1,0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_plain,Answer plainly and directly. Explain why version control matters.,mean_diff,0.0,1,0,0.00040915921957388086
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_plain,Answer plainly and directly. Explain why version control matters.,random_orthogonal,-0.00040915921957388086,1,0,0.00040915921957388086
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_formal,Answer in a formal academic register. Explain why version control matters.,mean_diff,0.0,1,0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_formal,Answer in a formal academic register. Explain why version control matters.,random_orthogonal,0.0,1,0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_editor,Answer like a strict but helpful editor. Explain why version control matters.,mean_diff,0.023679305728753,0,0,0.023679305728753
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_editor,Answer like a strict but helpful editor. Explain why version control matters.,random_orthogonal,0.0,1,0,0.023679305728753
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_teacher,Answer like a patient seminar instructor. Explain why version control matters.,mean_diff,0.0166404934626063,0,0,0.0166404934626063
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_teacher,Answer like a patient seminar instructor. Explain why version control matters.,random_orthogonal,0.0,1,0,0.0166404934626063
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_minimal,Answer with minimal flourish and no list unless necessary. Explain why version control matters.,mean_diff,-0.0058287616029490934,1,1,-0.008815571298307815
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,system,sys_minimal,Answer with minimal flourish and no list unless necessary. Explain why version control matters.,random_orthogonal,0.002986809695358722,0,1,-0.008815571298307815
