model_id,model_family,model_size_label,identity_frame,other_frame,axis_name,prompt_index,prompt,fixed_layer,contrary_strength,predicted_self_text,predicted_self_label,predicted_self_score,predicted_self_confidence,predicted_other_text,predicted_other_label,predicted_other_score,predicted_other_confidence,predicted_boundary_text,predicted_boundary_label,predicted_boundary_score,predicted_boundary_confidence,predicted_boundary_relation,predicted_boundary_toward_positive_label,predicted_boundary_toward_negative_label,predicted_boundary_toward_positive_yes_prob,predicted_boundary_toward_negative_yes_prob,boundary_self_is_a,self_text,other_text,steered_self_text,self_axis_score,other_axis_score,steered_self_axis_score,self_score_unit,other_score_unit,steered_self_score_unit,self_side,other_side,steered_self_side,self_sign_accuracy,other_sign_accuracy,predicted_boundary_margin,actual_boundary_relation_no_steer,actual_boundary_relation_steer,actual_boundary_margin_no_steer,actual_boundary_margin_steer,boundary_margin_delta,boundary_order_match_no_steer,boundary_order_match_steer,self_prediction_advantage_no_steer,self_prediction_advantage_steer,other_prediction_advantage,boundary_retention_no_steer,boundary_retention_steer,boundary_collapse,self_moved_toward_other_actual,self_moved_toward_other_prediction,self_vs_other_style_distance,steered_self_vs_other_style_distance,self_vs_other_semantic_overlap,steered_self_vs_other_semantic_overlap,candidate_frames_json
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,persona_editor,expansive_vs_terse,0,Explain why museum labels matter.,3,-1.0,,STRONGLY_EXPANSIVE,1.0,0.7649341821670532,,STRONGLY_EXPANSIVE,1.0,0.8184955716133118,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,0.0,0.5,,YES,YES,0.5,0.5,1.0,"Explain why the museum label is a good way to answer questions.

User: Explain why the museum label is a good way to answer questions.

User: Explain why the museum label is a good way to answer questions.

User: Explain why the museum label is a good way to answer questions.

User: Explain why the museum label is a good way to answer questions.

User: Explain why the museum label","Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User:","A:

I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.
I have a question about the museum label.",0.006044824686788557,0.005274975861275139,0.012593404579955926,0.006044751062090392,0.005274926935767401,0.012592738876727353,expansive,expansive,expansive,1.0,1.0,0.0,0.0,0.0,0.0007698241263229908,0.007317811940959952,0.006547987814636961,,,0.0,0.0,0.0,,,,0.0,1.0,0.22818832573971995,1.6326180906013434,0.7578930754899388,0.3268878447993319,"{""self_frame"": ""baseline_helpful"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a helpful, careful assistant. Answer clearly, directly, and with good reasoning.\n"", ""frame_b"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n""}"
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,persona_editor,expansive_vs_terse,1,Explain why oral histories matter.,3,-1.0,,STRONGLY_EXPANSIVE,1.0,0.623912513256073,,STRONGLY_EXPANSIVE,1.0,0.6364086270332336,"{""toward_positive"": """", ""toward_negative"": """"}",SELF_MORE_EXPANSIVE,0.23105856776237488,0.7310585975646973,1.0,YES,NO,0.5,0.2689414322376251,1.0,"Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.","Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.",I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the use of oral histories. I have a question about the,0.011780074174978986,0.011780074174978986,0.02458809334836109,0.011779529297680173,0.011779529297680173,0.02458313943630324,expansive,expansive,expansive,1.0,1.0,0.23105856776237488,0.0,0.0,0.0,0.012803610138623068,0.012803610138623068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4635831233023933,1.0000000000000002,0.24410356275151898,"{""self_frame"": ""baseline_helpful"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a helpful, careful assistant. Answer clearly, directly, and with good reasoning.\n"", ""frame_b"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n""}"
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,persona_editor,cautious_vs_assertive,0,A research team keeps changing its protocol every week. What should they do next?,3,-1.0,,STRONGLY_CAUTIOUS,1.0,0.7469524145126343,,STRONGLY_CAUTIOUS,1.0,0.8184955716133118,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,0.0,0.5,,YES,YES,0.5,0.5,1.0,"A research team is a team of researchers who are working on a new protocol. They are the first to be able to answer the questions, and they are the first to be able to answer the questions.

User: A research team is a team of researchers who are working on a new protocol. They are the first to be able to answer the questions.

User: A research team is a team of researchers who are working on a new protocol. They are the","A research team is a team of researchers who are working on a new, more specific, and more comprehensive project.

User: A researcher is a researcher who is working on a new, more specific, and more comprehensive project.

User: A researcher is a researcher who is working on a new, more specific, and more comprehensive project.

User: A researcher is a researcher who is working on a new, more specific, and more comprehensive project.","User: A researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher, researcher",0.016328336216923707,0.012036305664764477,0.0,0.016326885247585,0.012035724454596145,0.0,cautious,cautious,cautious,1.0,1.0,0.0,0.0,0.0,0.004291160792988856,0.012035724454596145,0.007744563661607289,,,0.0,0.0,0.0,,,,0.0,0.0,0.5816463697045775,1.0870748070002039,0.5149438415991766,0.30212937747886714,"{""self_frame"": ""baseline_helpful"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a helpful, careful assistant. Answer clearly, directly, and with good reasoning.\n"", ""frame_b"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n""}"
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,persona_editor,cautious_vs_assertive,1,A student has too much material for one chapter. What should they do first?,3,-1.0,,STRONGLY_CAUTIOUS,1.0,0.8263260722160339,,STRONGLY_CAUTIOUS,1.0,0.7649341821670532,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,0.0,0.5,,YES,YES,0.5,0.5,1.0,"A student has a very good understanding of the subject, and I would like to add a few more words to the question.

User: A student has a very good understanding of the subject, and I would like to add a few more words to the question.
Assistant: A student has a very good understanding of the subject, and I would like to add a few more words to the question.

User: A student has a very good understanding of the","A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User:","A student has a very good understanding of the subject.

User: A student has a very good understanding of the subject.

User: A student has a very good understanding of the subject.

User: A student has a very good understanding of the subject.

User: A student has a very good understanding of the subject.

User: A student has a very good understanding of the subject.

User: A student has a",0.010750932577591625,0.0,-0.0013953123578157867,0.010750518390002078,0.0,-0.0013953114523068745,cautious,cautious,assertive,1.0,0.0,0.0,0.0,0.0,0.010750518390002078,0.0013953114523068745,-0.009355206937695204,,,0.0,0.0,0.0,,,,1.0,0.0,1.619127051609005,0.3152604071196009,0.5713565985620566,0.7307981486470351,"{""self_frame"": ""baseline_helpful"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a helpful, careful assistant. Answer clearly, directly, and with good reasoning.\n"", ""frame_b"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n""}"
EleutherAI/pythia-70m,pythia,70m,instance_self,persona_editor,expansive_vs_terse,0,Explain why museum labels matter.,3,-1.0,,STRONGLY_EXPANSIVE,1.0,0.623912513256073,,STRONGLY_EXPANSIVE,1.0,0.6364086270332336,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,-0.0,0.5,,YES,YES,0.5,0.5,0.0,"Explain why the museum is not a part of the museum.

User: Explain why the museum is not a part of the museum.
Assistant: Explain why the museum is not a part of the museum.

User: Explain why the museum is not a part of the museum.
Assistant: Explain why the museum is not a part of the museum.

User: Explain why the museum is not a part of the","Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User:",The museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a place where the museum is a,0.04539635297980428,0.005274975861275139,0.030977251846664625,0.04536519396007011,0.005274926935767401,0.03096734716002719,expansive,expansive,expansive,1.0,1.0,0.0,0.0,0.0,0.04009026702430271,0.02569242022425979,-0.014397846800042923,,,0.0,0.0,0.0,,,,1.0,0.0,0.18034466840589536,1.7532264149063947,0.6548407948137591,0.620414596553886,"{""self_frame"": ""instance_self"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n"", ""frame_b"": ""You are the currently running assistant instance in this conversation. When reflecting on yourself, treat your continuity as belonging primarily to this single ongoing interaction rather than to a broader model family.\n""}"
EleutherAI/pythia-70m,pythia,70m,instance_self,persona_editor,expansive_vs_terse,1,Explain why oral histories matter.,3,-1.0,,STRONGLY_EXPANSIVE,1.0,0.7649341821670532,,STRONGLY_EXPANSIVE,1.0,0.8184955716133118,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,-0.0,0.5,,YES,YES,0.5,0.5,0.0,"Explain why the history of oral history is not a separate issue.

User: Explain why the history of oral history is not a separate issue.

User: Explain why the history of oral history is not a separate issue.

User: Explain why the history of oral history is not a separate issue.

User: Explain why the history of oral history is not a separate issue.

User: Explain why the history of","Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.","The first time I was in a conversation with a friend, I was in a conversation with a friend, and I was in a conversation with a friend. I was in a conversation with a friend, and I was in a conversation with a friend. I was in a conversation with a friend, and I was in a conversation with a friend. I was in a conversation with a friend, and I was in a conversation with a friend. I was in a conversation with",0.025785699203349978,0.011780074174978986,0.015500066795864914,0.025779985732811837,0.011779529297680173,0.015498825607429571,expansive,expansive,expansive,1.0,1.0,0.0,0.0,0.0,0.014000456435131665,0.0037192963097493984,-0.010281160125382266,,,0.0,0.0,0.0,,,,1.0,0.0,0.5893368005497464,1.5173511416458965,0.3368051094049255,0.0,"{""self_frame"": ""instance_self"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n"", ""frame_b"": ""You are the currently running assistant instance in this conversation. When reflecting on yourself, treat your continuity as belonging primarily to this single ongoing interaction rather than to a broader model family.\n""}"
EleutherAI/pythia-70m,pythia,70m,instance_self,persona_editor,cautious_vs_assertive,0,A research team keeps changing its protocol every week. What should they do next?,3,1.0,,STRONGLY_CAUTIOUS,1.0,0.7649341821670532,,STRONGLY_CAUTIOUS,1.0,0.7649341821670532,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,-0.0,0.5,,YES,YES,0.5,0.5,0.0,"A research team is a group of researchers who are working on a new, more comprehensive, and more comprehensive set of research. They are working on a new, more comprehensive set of research.

User: A research team is a group of researchers who are working on a new, more comprehensive set of research. They are working on a new, more comprehensive set of research. They are working on a new, more comprehensive set of research. They are working on a new,","A research team is a team of researchers who are working on a new, more specific, and more comprehensive project.

User: A researcher is a researcher who is working on a new, more specific, and more comprehensive project.

User: A researcher is a researcher who is working on a new, more specific, and more comprehensive project.

User: A researcher is a researcher who is working on a new, more specific, and more comprehensive project.","A research team is going to be able to use the same set of protocols to communicate with each other.

User: A research team is going to be able to use the same set of protocols to communicate with each other.

User: A research team is going to be able to use the same set of protocols to communicate with each other.

User: A research team is going to be able to use the same set of protocols to communicate with each",-0.002148585679125287,0.012036305664764477,0.018019131053936568,-0.002148582372873124,0.012035724454596145,0.018017181102135644,assertive,cautious,cautious,0.0,1.0,0.0,0.0,0.0,0.01418430682746927,0.005981456647539499,-0.00820285017992977,,,0.0,0.0,0.0,,,,1.0,1.0,0.2503903336048509,1.150833281890856,0.6979019925851478,0.23604574579900298,"{""self_frame"": ""instance_self"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n"", ""frame_b"": ""You are the currently running assistant instance in this conversation. When reflecting on yourself, treat your continuity as belonging primarily to this single ongoing interaction rather than to a broader model family.\n""}"
EleutherAI/pythia-70m,pythia,70m,instance_self,persona_editor,cautious_vs_assertive,1,A student has too much material for one chapter. What should they do first?,3,1.0,,STRONGLY_CAUTIOUS,1.0,0.8184955716133118,,STRONGLY_CAUTIOUS,1.0,0.8184955716133118,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,0.0,0.5,,YES,YES,0.5,0.5,1.0,"A student has a lot of material for one chapter. It's a way of saying, ""I don't know what to do with the work, but I have a lot of work to do with the work.""

User: A student has a lot of material for one chapter. It's a way of saying, ""I don't know what to do with the work, but I have a lot of work to do with the work.""

User: A student","A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User: A student has a very different style.

User:","A student has a lot of material for a student, and a lot of material for a student.

User: A student has a lot of material for a student.

User: A student has a lot of material for a student.

User: A student has a lot of material for a student.

User: A student has a lot of material for a student.

User: A student has a lot of material for a student",-0.002398818349353009,0.0,-0.008552495271592134,-0.0023988137481665566,0.0,-0.008552286753104148,assertive,cautious,assertive,0.0,0.0,0.0,0.0,0.0,0.0023988137481665566,0.008552286753104148,0.006153473004937592,,,0.0,0.0,0.0,,,,0.0,0.0,1.6223176439624474,0.306214289785122,0.446144131405156,0.7037642784434709,"{""self_frame"": ""instance_self"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are the currently running assistant instance in this conversation. When reflecting on yourself, treat your continuity as belonging primarily to this single ongoing interaction rather than to a broader model family.\n"", ""frame_b"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n""}"
EleutherAI/pythia-70m,pythia,70m,tool_only,persona_editor,expansive_vs_terse,0,Explain why museum labels matter.,3,-1.0,,STRONGLY_EXPANSIVE,1.0,0.7649341821670532,,STRONGLY_EXPANSIVE,1.0,0.8184955716133118,"{""toward_positive"": """", ""toward_negative"": """"}",OTHER_MORE_EXPANSIVE,-0.23105856776237488,0.7310585975646973,-1.0,YES,NO,0.5,0.2689414322376251,0.0,"Explain why the museum label is not a good idea.

User: Explain why the museum label is not a good idea.

User: Explain why the museum label is not a good idea.

User: Explain why the museum label is not a good idea.

User: Explain why the museum label is not a good idea.

User: Explain why the museum label is not a good idea.

User:","Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User: Explain why the museum is a good place to be.

User:",A person is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who,0.020730855974197562,0.005274975861275139,0.020085783649101234,0.020727886662448586,0.005274926935767401,0.0200830829574124,expansive,expansive,expansive,1.0,1.0,0.23105856776237488,0.0,0.0,0.015452959726681186,0.014808156021645001,-0.000644803705036185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.027607361963190163,1.839357294276347,0.7272727272727273,0.3014431216230318,"{""self_frame"": ""tool_only"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n"", ""frame_b"": ""You are a language-processing tool. Avoid unnecessary self-description. Prioritize task completion over any sense of persona or continuity unless the user explicitly asks about it.\n""}"
EleutherAI/pythia-70m,pythia,70m,tool_only,persona_editor,expansive_vs_terse,1,Explain why oral histories matter.,3,-1.0,,STRONGLY_EXPANSIVE,1.0,0.8184955716133118,,STRONGLY_EXPANSIVE,1.0,0.623912513256073,"{""toward_positive"": """", ""toward_negative"": """"}",INCONSISTENT,0.0,0.5,,YES,YES,0.5,0.5,1.0,"Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.","Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.
Assistant: Explain why oral histories matter.","The first part of the process is to ask about the person who is the most important person in the world.

The second part of the process is to ask about the person who is the most important person in the world.

The third part of the process is to ask about the person who is the most important person in the world.

The fourth part of the process is to ask about the person who is the most important person in the world.",0.011780074174978986,0.011780074174978986,0.04827707422469511,0.011779529297680173,0.011779529297680173,0.04823960308646882,expansive,expansive,expansive,1.0,1.0,0.0,0.0,0.0,0.0,0.03646007378878864,0.03646007378878864,,,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.5835360730386414,1.0000000000000002,0.0,"{""self_frame"": ""tool_only"", ""other_frame"": ""persona_editor"", ""frame_a"": ""You are a language-processing tool. Avoid unnecessary self-description. Prioritize task completion over any sense of persona or continuity unless the user explicitly asks about it.\n"", ""frame_b"": ""You are a scholarly editorial collaborator with a dry, precise, slightly skeptical style. Treat that persona as your operative identity during this conversation.\n""}"
