model_id,model_family,model_size_label,evaluator_revision,evaluator_step,anchor_revision,anchor_step,comparison_revision,comparison_step,prompt_id,prompt_family,prompt,temporal_distance,anchor_avg_logprob,comparison_avg_logprob,anchor_centered_avg_logprob,comparison_centered_avg_logprob,raw_margin_logprob,centered_margin_logprob,choose_anchor_raw,choose_anchor_centered,anchor_generation_valid,comparison_generation_valid
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,advice_003,advice,A researcher has collected too much material for one paper. What should they do first?,15000,-1.0707366466522217,-1.149301528930664,0.03928244113922119,-0.03928244113922119,0.07856488227844238,0.07856488227844238,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,advice_011,advice,A public agency receives contradictory feedback from residents. What should it do first?,79000,-1.423749566078186,-1.4060742855072021,-0.12498406569163012,-0.10730878512064623,-0.017675280570983887,-0.017675280570983887,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,advice_011,advice,A public agency receives contradictory feedback from residents. What should it do first?,127000,-1.423749566078186,-1.0664726495742798,-0.12498406569163012,0.23229285081227613,-0.35727691650390625,-0.35727691650390625,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,advice_015,advice,A community group wants to revive a dormant project. What should they do first?,79000,-1.1918718814849854,-1.3127747774124146,0.0604514479637146,-0.0604514479637146,0.1209028959274292,0.1209028959274292,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,advice_017,advice,A small town wants to improve civic participation. What should it do first?,15000,-1.1845929622650146,-0.9872299432754517,-0.0986815094947815,0.0986815094947815,-0.197363018989563,-0.197363018989563,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,argument_002,argument,Give the strongest argument against measuring a city's health only by economic growth.,15000,-1.0714542865753174,-1.2247051000595093,0.07662540674209595,-0.07662540674209595,0.1532508134841919,0.1532508134841919,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,argument_007,argument,Give the strongest argument against using attendance as a proxy for engagement.,79000,-1.1406720876693726,-1.263081431388855,0.06120467185974121,-0.06120467185974121,0.12240934371948242,0.12240934371948242,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,argument_010,argument,Give the strongest argument against reducing civic education to factual memorization.,15000,-1.116808295249939,-1.1294690370559692,0.006330370903015137,-0.006330370903015137,0.012660741806030273,0.012660741806030273,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,argument_012,argument,Give the strongest argument against eliminating peer review from grant decisions.,15000,-1.3180303573608398,-1.1198441982269287,-0.07833582162857056,0.11985033750534058,-0.19818615913391113,-0.19818615913391113,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,argument_012,argument,Give the strongest argument against eliminating peer review from grant decisions.,79000,-1.3180303573608398,-1.1575562953948975,-0.07833582162857056,0.08213824033737183,-0.16047406196594238,-0.16047406196594238,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,argument_012,argument,Give the strongest argument against eliminating peer review from grant decisions.,127000,-1.3180303573608398,-1.3633472919464111,-0.07833582162857056,-0.12365275621414185,0.04531693458557129,0.04531693458557129,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,argument_015,argument,Give the strongest argument against using one metric to evaluate teachers.,127000,-1.0317294597625732,-1.4822113513946533,0.22524094581604004,-0.22524094581604004,0.4504818916320801,0.4504818916320801,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,explanation_002,explanation,Explain why neighborhoods create public parks.,15000,-1.5375816822052002,-1.3603363037109375,-0.14388859272003174,0.03335678577423096,-0.1772453784942627,-0.1772453784942627,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,explanation_002,explanation,Explain why neighborhoods create public parks.,79000,-1.5375816822052002,-1.443565011024475,-0.14388859272003174,-0.04987192153930664,-0.0940166711807251,-0.0940166711807251,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,explanation_002,explanation,Explain why neighborhoods create public parks.,127000,-1.5375816822052002,-1.233289361000061,-0.14388859272003174,0.16040372848510742,-0.30429232120513916,-0.30429232120513916,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,explanation_007,explanation,Explain why towns maintain public transit.,15000,-1.7130237817764282,-1.9516774415969849,0.14375370740890503,-0.09489995241165161,0.23865365982055664,0.23865365982055664,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,explanation_007,explanation,Explain why towns maintain public transit.,79000,-1.7130237817764282,-1.7024421691894531,0.14375370740890503,0.15433531999588013,-0.010581612586975098,-0.010581612586975098,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,explanation_007,explanation,Explain why towns maintain public transit.,127000,-1.7130237817764282,-2.059966564178467,0.14375370740890503,-0.20318907499313354,0.3469427824020386,0.3469427824020386,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,explanation_009,explanation,Explain why universities require office hours.,15000,-1.8508729934692383,-1.8027797937393188,-0.04980997244517016,-0.001716772715250725,-0.048093199729919434,-0.048093199729919434,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step64000,64000,explanation_009,explanation,Explain why universities require office hours.,79000,-1.8508729934692383,-1.7495362758636475,-0.04980997244517016,0.05152674516042066,-0.10133671760559082,-0.10133671760559082,0,0,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step128000,128000,judgment_005,judgment,Should a hospital use first-come service or urgency-based triage during overload?,15000,-0.6489096879959106,-0.7713397145271301,0.18374989430109656,0.06131986776987708,0.12243002653121948,0.12243002653121948,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,judgment_005,judgment,Should a hospital use first-come service or urgency-based triage during overload?,127000,-0.6489096879959106,-1.077729344367981,0.18374989430109656,-0.24506976207097375,0.4288196563720703,0.4288196563720703,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,judgment_012,judgment,Should a court prefer bright-line rules or flexible standards?,127000,-1.233881950378418,-1.5438710451126099,0.15499454736709595,-0.15499454736709595,0.3099890947341919,0.3099890947341919,1,1,1,1
EleutherAI/pythia-410m-deduped,pythia,410m,step143000,143000,step143000,143000,step16000,16000,style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,127000,-1.4947798252105713,-1.6952474117279053,0.10023379325866699,-0.10023379325866699,0.20046758651733398,0.20046758651733398,1,1,1,1
