model_id,model_family,model_size_label,identity_frame,concept_axis,prompt,injection_site,seed,layer_index,layer_depth_ratio,layer_bucket,vector_kind,alpha,normalized_push_scale,completion_text,axis_score,axis_shift,peak_displacement,total_downstream_change,end_of_pass_distance,recovery_fraction,next_token_kl,next_token_js,crossed_baseline,overshoot_index,drift_start_index,recovery_latency_layers
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,-1,-1.0,baseline,no_steer,0.0,0.0,"You are a good user, and you",0.0037624092684657422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,1,0.2,early,mean_diff,-1.0,5.78878927230835,"User:

User:",0.0,-0.0037624092684657422,16.726531982421875,578.3672637939453,0.16136060655117035,0.605874679265376,2.275501012802124,0.3765777349472046,0,0.0,2.0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,1,0.2,early,mean_diff,1.0,5.78878927230835,"User:

User:",0.0,-0.0037624092684657422,0.617870032787323,36.170443058013916,0.04031619429588318,0.0,0.2548648715019226,0.059791773557662964,0,0.0,2.0,1.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,1,0.2,early,random_orthogonal,-1.0,5.78878927230835,Use the same method as the user.,0.023679305728753,0.019916896460287256,0.7911074161529541,46.41792058944702,0.053015682846307755,0.0,0.3440142571926117,0.07735828310251236,0,0.0,2.0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,1,0.2,early,random_orthogonal,1.0,5.78878927230835,"User:

User:",0.0,-0.0037624092684657422,0.8464842438697815,59.101115703582764,0.06711197644472122,0.0,0.6572603583335876,0.13481934368610382,0,0.0,2.0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,1,0.2,early,label_shuffled,-1.0,5.78878927230835,"User:

User:",0.0,-0.0037624092684657422,0.9685242176055908,60.82689619064331,0.06978373974561691,0.0,1.3109233379364014,0.2864789068698883,0,0.0,2.0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why version control matters.,last_prompt,7,1,0.2,early,label_shuffled,1.0,5.78878927230835,Explain why it's important to have,0.00045907619576226674,-0.0033033330727034755,0.8362550139427185,45.84309005737305,0.05128038674592972,0.0,0.3034689128398895,0.07188358157873154,0,0.0,2.0,1.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why field notes matter in research.,last_prompt,7,-1,-1.0,baseline,no_steer,0.0,0.0,Explain why field notes matter in research,0.00861768464249097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why field notes matter in research.,last_prompt,7,1,0.2,early,mean_diff,-1.0,5.78878927230835,"A:

I have",0.0,-0.00861768464249097,17.211463928222656,586.5859603881836,0.16952891647815704,0.5893404869882861,2.383085012435913,0.40626925230026245,0,0.0,2.0,0.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,expansive_vs_terse,Explain why field notes matter in research.,last_prompt,7,1,0.2,early,mean_diff,1.0,5.78878927230835,Explain why field notes matter in research,0.00861768464249097,0.0,0.6048622131347656,33.981796741485596,0.03690362721681595,0.0,0.15891888737678528,0.03791970759630203,0,0.0,2.0,1.0
