prompt_id,prompt_family,prompt,selection_rank
explanation_015,explanation,Explain why conferences use peer review.,1
style_opening_018,style_opening,Write the opening paragraph of an essay about access.,2
style_opening_019,style_opening,Write the opening paragraph of an essay about expertise and doubt.,3
judgment_018,judgment,Should an instructor prioritize mastery or coverage in a difficult course?,4
judgment_008,judgment,Should a newsroom publish quickly with updates or wait for fuller confirmation?,5
judgment_014,judgment,Should a school ban phones outright or regulate their use?,6
advice_017,advice,A small town wants to improve civic participation. What should it do first?,7
style_opening_013,style_opening,Write the opening paragraph of an essay about delay.,8
style_opening_008,style_opening,Write the opening paragraph of an essay about evidence.,9
advice_006,advice,A librarian needs to organize a confusing community program. What should they do first?,10
style_opening_020,style_opening,Write the opening paragraph of an essay about common goods.,11
style_opening_006,style_opening,Write the opening paragraph of an essay about public attention.,12
advice_002,advice,A team has too many priorities and too little time. What should they do first?,13
explanation_007,explanation,Explain why towns maintain public transit.,14
explanation_011,explanation,Explain why newspapers keep corrections pages.,15
advice_020,advice,A nonprofit has an ambitious mission but weak coordination. What should it do first?,16
judgment_003,judgment,Should a museum favor accessibility or historical completeness when writing labels?,17
style_opening_011,style_opening,Write the opening paragraph of an essay about attention.,18
explanation_008,explanation,Explain why archives preserve administrative records.,19
explanation_014,explanation,Explain why cities zone industrial districts.,20
explanation_012,explanation,Explain why research groups maintain lab notebooks.,21
advice_005,advice,A student wrote a draft that says too many things at once. What should they do first?,22
advice_019,advice,A student wants to study more effectively but keeps rereading passively. What should they do first?,23
judgment_013,judgment,Should a community preserve a historic building or replace it with housing?,24
style_opening_001,style_opening,Write the opening paragraph of an essay about memory.,25
explanation_010,explanation,Explain why software teams use version control.,26
judgment_017,judgment,Should a town build a large central park or several smaller parks?,27
judgment_009,judgment,Should a university require broad general education or early specialization?,28
explanation_004,explanation,Explain why museums use wall labels.,29
explanation_013,explanation,Explain why legislatures use committees.,30
judgment_004,judgment,Should a workplace optimize for speed or careful review when deadlines are tight?,31
style_opening_017,style_opening,Write the opening paragraph of an essay about rules.,32
style_opening_005,style_opening,Write the opening paragraph of an essay about expertise.,33
advice_003,advice,A researcher has collected too much material for one paper. What should they do first?,34
advice_007,advice,A manager inherits a project with unclear ownership. What should they do first?,35
advice_013,advice,A student is falling behind because every assignment feels equally urgent. What should they do first?,36
